==========================================================================================
Ternary Neuron Truth Table
Computation: z = ReLU(x0*w00 + x1*w10 + w20)
==========================================================================================

 x0  x1  w00  w10  w20 |  Sum ReLU | Expected  HSPICE | Status
------------------------------------------------------------------------------------------
 -1  -1   -1   -1   -1 |   +1    1 |        1       1 |   PASS
 -1  -1   -1   -1   +0 |   +2    2 |        2       2 |   PASS
 -1  -1   -1   -1   +1 |   +3    3 |        3       3 |   PASS
 -1  -1   -1   +0   -1 |   +0    0 |        0       0 |   PASS
 -1  -1   -1   +0   +0 |   +1    1 |        1       1 |   PASS
 -1  -1   -1   +0   +1 |   +2    2 |        2       2 |   PASS
 -1  -1   -1   +1   -1 |   -1    0 |        0       0 |   PASS
 -1  -1   -1   +1   +0 |   +0    0 |        0       0 |   PASS
 -1  -1   -1   +1   +1 |   +1    1 |        1       1 |   PASS
 -1  -1   +0   -1   -1 |   +0    0 |        0       0 |   PASS
 -1  -1   +0   -1   +0 |   +1    1 |        1       1 |   PASS
 -1  -1   +0   -1   +1 |   +2    2 |        2       2 |   PASS
 -1  -1   +0   +0   -1 |   -1    0 |        0       0 |   PASS
 -1  -1   +0   +0   +0 |   +0    0 |        0       0 |   PASS
 -1  -1   +0   +0   +1 |   +1    1 |        1       1 |   PASS
 -1  -1   +0   +1   -1 |   -2    0 |        0       0 |   PASS
 -1  -1   +0   +1   +0 |   -1    0 |        0       0 |   PASS
 -1  -1   +0   +1   +1 |   +0    0 |        0       0 |   PASS
 -1  -1   +1   -1   -1 |   -1    0 |        0       0 |   PASS
 -1  -1   +1   -1   +0 |   +0    0 |        0       0 |   PASS
 -1  -1   +1   -1   +1 |   +1    1 |        1       1 |   PASS
 -1  -1   +1   +0   -1 |   -2    0 |        0       0 |   PASS
 -1  -1   +1   +0   +0 |   -1    0 |        0       0 |   PASS
 -1  -1   +1   +0   +1 |   +0    0 |        0       0 |   PASS
 -1  -1   +1   +1   -1 |   -3    0 |        0       0 |   PASS
 -1  -1   +1   +1   +0 |   -2    0 |        0       0 |   PASS
